model,seed,split,best_epoch,rmse_db,mae_db,r2
mean,,train,,6.813287224113315,5.573136893312723,0.0
mean,,validation,,7.204443624550338,5.741354688542547,-0.012603254869063107
mean,,test,,6.867875769215984,5.600247731730597,-0.008049473015011799
linear,,train,,4.5797381549418725,3.543079345771627,0.5481774515366613
linear,,validation,,5.238093437609077,3.9687830670019197,0.46471520566345903
linear,,test,,5.0868714662340295,3.9456960489148294,0.44698295956009515
mlp_plain,7,train,352,1.2642132795764136,0.9039355753032713,0.9655707707412006
mlp_plain,7,validation,352,2.925056031707122,2.065783365465931,0.8330806042493493
mlp_plain,7,test,352,2.7087066195069753,2.07331593470113,0.843194632891779
mlp_l2,7,train,376,1.4061264980900823,1.0048082765863935,0.9574072785900369
mlp_l2,7,validation,376,2.7945794409319062,1.9594648397648866,0.8476398667331787
mlp_l2,7,test,376,2.4763428568628063,1.8903694349627633,0.8689435097700382
mlp_plain,17,train,330,1.4562904647972907,1.010009390303315,0.9543140545802213
mlp_plain,17,validation,330,2.78801139328262,2.0187694293149967,0.8483552034505129
mlp_plain,17,test,330,2.49901626806835,1.8861448233060747,0.8665326148393022
mlp_l2,17,train,370,1.4389498463713144,1.0291617700852929,0.9553955776892423
mlp_l2,17,validation,370,2.5936702651075145,1.888781987455702,0.8687594775229261
mlp_l2,17,test,370,2.2555109412946974,1.7047760344413214,0.891275639533839
mlp_plain,27,train,312,1.4560371414663902,1.0695877059439887,0.9543299474388965
mlp_plain,27,validation,312,2.7466924498181515,1.9650253939808844,0.8528167149788244
mlp_plain,27,test,312,2.548530469635611,1.9161688367421759,0.8611913130753499
mlp_l2,27,train,363,1.45880605734231,1.0357856391196034,0.954156082679709
mlp_l2,27,validation,363,2.7049554631966437,1.96089484607395,0.8572557371515155
mlp_l2,27,test,363,2.3889110674637863,1.7709628486039113,0.8780345140850461
