epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.672004786527001130e+00,6.675769227557542429e+00
2.000000000000000000e+00,6.315344820156952643e+00,6.289038554628106681e+00
3.000000000000000000e+00,5.875699098695397637e+00,5.902023094067754272e+00
4.000000000000000000e+00,5.367333151784147383e+00,5.585700847753889420e+00
5.000000000000000000e+00,4.901685630513085812e+00,5.389840956253784121e+00
6.000000000000000000e+00,4.659639728363760725e+00,5.432525759570973278e+00
7.000000000000000000e+00,4.547035508934595960e+00,5.341606700189042378e+00
8.000000000000000000e+00,4.448398350840938598e+00,5.206966601023848895e+00
9.000000000000000000e+00,4.360142543303446416e+00,5.014976160342472511e+00
1.000000000000000000e+01,4.284703561959297247e+00,4.904265186781317176e+00
1.100000000000000000e+01,4.212467000925677496e+00,4.811067559016607653e+00
1.200000000000000000e+01,4.148143251830902933e+00,4.773478079823795461e+00
1.300000000000000000e+01,4.085905333604926248e+00,4.640702033533997906e+00
1.400000000000000000e+01,4.020840696142957249e+00,4.570841096040648921e+00
1.500000000000000000e+01,3.962415502549822666e+00,4.523600103030954500e+00
1.600000000000000000e+01,3.902193112166278954e+00,4.434080055126673692e+00
1.700000000000000000e+01,3.846275145328675649e+00,4.382453625532511943e+00
1.800000000000000000e+01,3.797344292044273040e+00,4.271117137404593755e+00
1.900000000000000000e+01,3.750447005695491054e+00,4.298682661672363459e+00
2.000000000000000000e+01,3.699841805196337763e+00,4.192562507395722449e+00
2.100000000000000000e+01,3.655739849912611028e+00,4.155718533656295399e+00
2.200000000000000000e+01,3.615678612265312175e+00,4.147362096245409191e+00
2.300000000000000000e+01,3.571428115058566721e+00,4.082383317382936916e+00
2.400000000000000000e+01,3.525241107018260767e+00,4.063359853951127754e+00
2.500000000000000000e+01,3.476494482207584280e+00,3.984654784350465384e+00
2.600000000000000000e+01,3.433092598068354206e+00,3.960411088634714361e+00
2.700000000000000000e+01,3.397322967618726874e+00,3.970118317640172201e+00
2.800000000000000000e+01,3.366438358424098443e+00,3.906714314045047320e+00
2.900000000000000000e+01,3.327898585088411298e+00,3.877347334437048598e+00
3.000000000000000000e+01,3.288918060985811298e+00,3.840459126604186757e+00
3.100000000000000000e+01,3.254632293425335110e+00,3.820338162360811030e+00
3.200000000000000000e+01,3.225252457045256982e+00,3.824390575399994940e+00
3.300000000000000000e+01,3.195314936664074068e+00,3.761138026553525915e+00
3.400000000000000000e+01,3.152970912998006803e+00,3.787513678059864830e+00
3.500000000000000000e+01,3.124890309650721676e+00,3.697755670328867428e+00
3.600000000000000000e+01,3.099267123301785443e+00,3.746931444655143384e+00
3.700000000000000000e+01,3.051583833653933375e+00,3.662147337966588090e+00
3.800000000000000000e+01,3.015378121962542401e+00,3.655584310920049873e+00
3.900000000000000000e+01,2.990192854833606084e+00,3.599662795195402776e+00
4.000000000000000000e+01,2.967104533926436361e+00,3.645912376853165160e+00
4.100000000000000000e+01,2.932145818061786091e+00,3.575281297403520409e+00
4.200000000000000000e+01,2.902951357680068956e+00,3.587177009540497785e+00
4.300000000000000000e+01,2.881172650699665549e+00,3.573633871108954363e+00
4.400000000000000000e+01,2.856712967617899945e+00,3.536793309747366720e+00
4.500000000000000000e+01,2.824922252449482585e+00,3.549966302116389194e+00
4.600000000000000000e+01,2.810667825677815923e+00,3.507309006547342012e+00
4.700000000000000000e+01,2.786459234125608475e+00,3.522986988550256271e+00
4.800000000000000000e+01,2.765624820724156496e+00,3.473046179067214467e+00
4.900000000000000000e+01,2.734407958004563266e+00,3.471783015218004032e+00
5.000000000000000000e+01,2.723789894355786334e+00,3.442847856894311942e+00
5.100000000000000000e+01,2.707044440636589222e+00,3.484516135469644560e+00
5.200000000000000000e+01,2.690381423395478144e+00,3.444252981311609396e+00
5.300000000000000000e+01,2.673804712194923550e+00,3.427923576047461562e+00
5.400000000000000000e+01,2.654652009378330568e+00,3.395484187409708365e+00
5.500000000000000000e+01,2.625610169643471714e+00,3.412865933710809152e+00
5.600000000000000000e+01,2.604675188331361024e+00,3.380854566323721944e+00
5.700000000000000000e+01,2.590259563601004178e+00,3.404000070472097850e+00
5.800000000000000000e+01,2.578989363887988606e+00,3.358297900984439810e+00
5.900000000000000000e+01,2.556186793123939704e+00,3.372002490264800478e+00
6.000000000000000000e+01,2.547366662503653068e+00,3.338758511147474017e+00
6.100000000000000000e+01,2.531900427277568699e+00,3.302521080778432871e+00
6.200000000000000000e+01,2.520481254347278544e+00,3.379446722995948171e+00
6.300000000000000000e+01,2.501733856560599545e+00,3.309464814168088687e+00
6.400000000000000000e+01,2.486419301049086705e+00,3.312607626631433710e+00
6.500000000000000000e+01,2.507205303885840397e+00,3.419536152047728539e+00
6.600000000000000000e+01,2.467767724193270062e+00,3.262729177633539202e+00
6.700000000000000000e+01,2.448377764422508207e+00,3.308334376951869604e+00
6.800000000000000000e+01,2.431621430880123835e+00,3.300352733231582292e+00
6.900000000000000000e+01,2.438585683926635994e+00,3.360061098159288218e+00
7.000000000000000000e+01,2.413848032033480084e+00,3.273589768219364426e+00
7.100000000000000000e+01,2.427767639342405914e+00,3.269239705402663621e+00
7.200000000000000000e+01,2.396723832763401507e+00,3.268748260189205723e+00
7.300000000000000000e+01,2.376529882282920614e+00,3.274343722385407940e+00
7.400000000000000000e+01,2.373780709788430698e+00,3.261548927004307430e+00
7.500000000000000000e+01,2.353351319115719154e+00,3.285455634107969480e+00
7.600000000000000000e+01,2.343305919405941129e+00,3.212843171200415071e+00
7.700000000000000000e+01,2.329353238064433729e+00,3.260114600024448972e+00
7.800000000000000000e+01,2.349513333309699803e+00,3.302021496063047845e+00
7.900000000000000000e+01,2.303826393004196227e+00,3.233663681639559861e+00
8.000000000000000000e+01,2.297101324618257667e+00,3.222437361093606789e+00
8.100000000000000000e+01,2.312143706411348809e+00,3.267959042431887173e+00
8.200000000000000000e+01,2.272910003527743861e+00,3.116853468835333985e+00
8.300000000000000000e+01,2.262814489668425910e+00,3.212639383310177621e+00
8.400000000000000000e+01,2.250118087371505204e+00,3.149157063031974957e+00
8.500000000000000000e+01,2.247569153970265354e+00,3.184455329593383954e+00
8.600000000000000000e+01,2.227394267427765584e+00,3.115916781094598242e+00
8.700000000000000000e+01,2.218622960084148499e+00,3.183166089476832106e+00
8.800000000000000000e+01,2.204832260724383541e+00,3.131974757361278172e+00
8.900000000000000000e+01,2.197176000679584185e+00,3.150001190183890909e+00
9.000000000000000000e+01,2.186527542913195177e+00,3.188260475523563287e+00
9.100000000000000000e+01,2.177167598583059416e+00,3.123159239352430117e+00
9.200000000000000000e+01,2.194969388894518314e+00,3.143401700473899663e+00
9.300000000000000000e+01,2.165273509652110295e+00,3.168996215453605991e+00
9.400000000000000000e+01,2.162831754014898689e+00,3.106021857847864887e+00
9.500000000000000000e+01,2.144958026204796475e+00,3.163731101460028672e+00
9.600000000000000000e+01,2.151390981367364841e+00,3.059440106154657002e+00
9.700000000000000000e+01,2.137153626084288494e+00,3.179298822253212808e+00
9.800000000000000000e+01,2.120644609251195245e+00,3.050460667169786255e+00
9.900000000000000000e+01,2.113422290364936007e+00,3.078160949166216298e+00
1.000000000000000000e+02,2.101139241389728962e+00,3.063145147504105381e+00
1.010000000000000000e+02,2.091147782133834010e+00,3.054188491991168597e+00
1.020000000000000000e+02,2.082359234064909081e+00,3.077294305933326424e+00
1.030000000000000000e+02,2.073689387443583776e+00,3.049762844213805391e+00
1.040000000000000000e+02,2.066890130516141344e+00,3.051345473069619008e+00
1.050000000000000000e+02,2.066772825532559033e+00,3.059223499180430572e+00
1.060000000000000000e+02,2.058522099723733678e+00,3.088494443042422599e+00
1.070000000000000000e+02,2.047232796339714778e+00,3.014027691107104889e+00
1.080000000000000000e+02,2.046595365388605980e+00,3.062837223955361843e+00
1.090000000000000000e+02,2.045616655570670517e+00,3.066112589800900512e+00
1.100000000000000000e+02,2.042140056471429155e+00,3.077802162398321606e+00
1.110000000000000000e+02,2.052252482308077219e+00,3.001875048986108574e+00
1.120000000000000000e+02,2.016052452249098348e+00,3.066871199785090152e+00
1.130000000000000000e+02,2.020892708591744746e+00,3.014376858010607840e+00
1.140000000000000000e+02,2.003833436132001378e+00,2.995655148562362147e+00
1.150000000000000000e+02,2.001430778409011513e+00,3.077443333800917280e+00
1.160000000000000000e+02,2.005093454677809195e+00,3.083716189139213526e+00
1.170000000000000000e+02,1.986119953480829814e+00,3.016685528156531682e+00
1.180000000000000000e+02,1.971919896799402272e+00,2.936502803526961802e+00
1.190000000000000000e+02,1.967386368221306414e+00,3.033047548505310775e+00
1.200000000000000000e+02,1.989275558938992772e+00,2.983241367021108204e+00
1.210000000000000000e+02,1.954313404152684397e+00,2.969795747289904142e+00
1.220000000000000000e+02,1.956307237244999886e+00,3.080410924750210722e+00
1.230000000000000000e+02,1.941714190195611867e+00,2.956016137388751908e+00
1.240000000000000000e+02,1.939971728865230727e+00,2.975835744576293074e+00
1.250000000000000000e+02,1.947366599504742224e+00,3.002587572279113992e+00
1.260000000000000000e+02,1.945079299065637146e+00,3.010049863926532066e+00
1.270000000000000000e+02,1.928895344431425629e+00,3.044333558105042137e+00
1.280000000000000000e+02,1.931088534190873229e+00,2.875265196046437932e+00
1.290000000000000000e+02,1.931647789903097268e+00,3.072399573254521954e+00
1.300000000000000000e+02,1.895619327853738101e+00,2.986358162461133947e+00
1.310000000000000000e+02,1.928144892446311376e+00,2.953387551036121828e+00
1.320000000000000000e+02,1.882787451964845316e+00,2.954971701787680427e+00
1.330000000000000000e+02,1.882401924203078059e+00,2.981585817478245470e+00
1.340000000000000000e+02,1.883384005523702998e+00,2.868945247497199258e+00
1.350000000000000000e+02,1.901834364298450319e+00,2.930969094455848190e+00
