epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.321821562901604352e+00,6.862929192957005320e+00
2.000000000000000000e+00,5.884085830193600763e+00,6.561068445806146343e+00
3.000000000000000000e+00,5.439703973220532340e+00,6.252356495047714624e+00
4.000000000000000000e+00,5.029093204341775980e+00,6.021003254026553897e+00
5.000000000000000000e+00,4.745718962692040854e+00,5.913947302469654055e+00
6.000000000000000000e+00,4.583338752038438990e+00,5.712933400833461128e+00
7.000000000000000000e+00,4.447558417120006879e+00,5.606169027454212639e+00
8.000000000000000000e+00,4.329893348401945730e+00,5.425712117609039709e+00
9.000000000000000000e+00,4.223715898886184483e+00,5.279454051583931218e+00
1.000000000000000000e+01,4.130074310628267575e+00,5.109450723579636922e+00
1.100000000000000000e+01,4.049781373120051597e+00,4.961594347229362434e+00
1.200000000000000000e+01,3.983540655128448016e+00,4.905200230014620466e+00
1.300000000000000000e+01,3.922846812008396356e+00,4.822066358720558554e+00
1.400000000000000000e+01,3.871123258289317803e+00,4.689930687608421245e+00
1.500000000000000000e+01,3.824899515259322591e+00,4.677354331618049699e+00
1.600000000000000000e+01,3.787932067197520958e+00,4.531963077394729034e+00
1.700000000000000000e+01,3.746365015050410197e+00,4.530918339838433617e+00
1.800000000000000000e+01,3.712462749130684081e+00,4.513734756219223598e+00
1.900000000000000000e+01,3.684586705587321376e+00,4.497884740898966172e+00
2.000000000000000000e+01,3.656934176439743389e+00,4.406362360378555110e+00
2.100000000000000000e+01,3.630100459788227152e+00,4.413501825804588385e+00
2.200000000000000000e+01,3.605482768720425391e+00,4.423783516743567290e+00
2.300000000000000000e+01,3.581243846891808857e+00,4.386932247624595327e+00
2.400000000000000000e+01,3.569706051338322084e+00,4.439604853698797093e+00
2.500000000000000000e+01,3.541233897814297649e+00,4.371285022026026645e+00
2.600000000000000000e+01,3.512419692431680396e+00,4.357814882672575330e+00
2.700000000000000000e+01,3.505130386703430467e+00,4.266131384727033016e+00
2.800000000000000000e+01,3.464896158450692099e+00,4.300718405512467868e+00
2.900000000000000000e+01,3.444970488485154636e+00,4.264077506272693441e+00
3.000000000000000000e+01,3.422972482114106985e+00,4.274911333024227211e+00
3.100000000000000000e+01,3.406853764169387233e+00,4.194369568174289853e+00
3.200000000000000000e+01,3.382764383215699056e+00,4.249216941609834208e+00
3.300000000000000000e+01,3.354150507222191546e+00,4.185082180211727731e+00
3.400000000000000000e+01,3.315327798259350089e+00,4.170223923920062248e+00
3.500000000000000000e+01,3.283865239078146647e+00,4.134769091095397364e+00
3.600000000000000000e+01,3.254748229501724488e+00,4.103561266432681265e+00
3.700000000000000000e+01,3.221620158136340173e+00,4.093512820847035272e+00
3.800000000000000000e+01,3.193098159682796311e+00,4.079177581508038664e+00
3.900000000000000000e+01,3.159348772812776485e+00,4.010046843426402496e+00
4.000000000000000000e+01,3.138653702795165756e+00,4.034024140689000504e+00
4.100000000000000000e+01,3.109554725901103378e+00,4.008967550698888438e+00
4.200000000000000000e+01,3.067076215587978716e+00,3.951583194751338013e+00
4.300000000000000000e+01,3.038911529988240989e+00,3.902323223032930777e+00
4.400000000000000000e+01,3.037973238435098366e+00,3.990387701694766420e+00
4.500000000000000000e+01,2.977971517732663109e+00,3.858054976869295327e+00
4.600000000000000000e+01,2.951407426630719311e+00,3.890468871365607928e+00
4.700000000000000000e+01,2.926253922340996905e+00,3.835795994946848531e+00
4.800000000000000000e+01,2.895122723960775080e+00,3.834746667262793451e+00
4.900000000000000000e+01,2.870183430488510545e+00,3.830602642404983715e+00
5.000000000000000000e+01,2.847085352115282575e+00,3.840219926171560161e+00
5.100000000000000000e+01,2.845993041798229317e+00,3.754042930024526381e+00
5.200000000000000000e+01,2.804473377216709196e+00,3.787876735100885295e+00
5.300000000000000000e+01,2.785895660588091793e+00,3.712084117184029086e+00
5.400000000000000000e+01,2.809263557433032243e+00,3.756963442127887465e+00
5.500000000000000000e+01,2.738436457826109116e+00,3.763402243044075224e+00
5.600000000000000000e+01,2.718357037710263935e+00,3.671012130518537031e+00
5.700000000000000000e+01,2.708418448102738463e+00,3.748316879281451186e+00
5.800000000000000000e+01,2.675920594448581991e+00,3.640175666279913624e+00
5.900000000000000000e+01,2.664713647933460994e+00,3.681518780797893076e+00
6.000000000000000000e+01,2.640872827262424227e+00,3.634705862339895788e+00
6.100000000000000000e+01,2.626790437568075287e+00,3.678094373806708450e+00
6.200000000000000000e+01,2.603155814348831587e+00,3.590921409137747045e+00
