epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.322562064823389782e+00,6.862605846147192601e+00
2.000000000000000000e+00,5.885579575635895289e+00,6.561282040918940517e+00
3.000000000000000000e+00,5.441888182353745940e+00,6.253015619439038275e+00
4.000000000000000000e+00,5.031301687118186372e+00,6.011737054001630831e+00
5.000000000000000000e+00,4.739032573864415454e+00,5.886417731299764533e+00
6.000000000000000000e+00,4.566005828871887218e+00,5.724509806003802659e+00
7.000000000000000000e+00,4.428462142673810220e+00,5.637707214070357686e+00
8.000000000000000000e+00,4.310476079237491653e+00,5.422355282462693715e+00
9.000000000000000000e+00,4.199129355811532349e+00,5.251538054076870132e+00
1.000000000000000000e+01,4.103734549661378850e+00,5.093609275640479161e+00
1.100000000000000000e+01,4.020489213413599217e+00,4.930457372275647288e+00
1.200000000000000000e+01,3.952581554439491107e+00,4.860505198573027208e+00
1.300000000000000000e+01,3.889671001305925468e+00,4.786286740758233016e+00
1.400000000000000000e+01,3.832555463902705295e+00,4.644043414188564256e+00
1.500000000000000000e+01,3.781768251378678336e+00,4.623243788552628963e+00
1.600000000000000000e+01,3.740513852148186213e+00,4.463554288833100792e+00
1.700000000000000000e+01,3.688910704033594889e+00,4.457548190027673662e+00
1.800000000000000000e+01,3.646284031512869728e+00,4.424965947465513416e+00
1.900000000000000000e+01,3.609429532384621275e+00,4.403072961564330257e+00
2.000000000000000000e+01,3.568559485574398948e+00,4.287971971578080854e+00
2.100000000000000000e+01,3.528379436497193655e+00,4.274316800319982512e+00
2.200000000000000000e+01,3.489719469858050704e+00,4.282957226132018569e+00
2.300000000000000000e+01,3.447408253772155096e+00,4.204617064182049724e+00
2.400000000000000000e+01,3.422644889653982503e+00,4.253430432137530914e+00
2.500000000000000000e+01,3.374644347765321850e+00,4.153429030144553558e+00
2.600000000000000000e+01,3.327834876488510840e+00,4.117568036798128439e+00
2.700000000000000000e+01,3.307717307817145791e+00,4.022073481518115834e+00
2.800000000000000000e+01,3.248780285657587363e+00,4.042282900545243862e+00
2.900000000000000000e+01,3.215394109116079591e+00,3.996578351156816922e+00
3.000000000000000000e+01,3.176179273527748315e+00,4.005660407699282111e+00
3.100000000000000000e+01,3.142353728150473202e+00,3.901288774956679806e+00
