epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.440428030398160253e+00,6.670145828824383116e+00
2.000000000000000000e+00,6.010619003492236878e+00,6.366180279376369100e+00
3.000000000000000000e+00,5.524386471910940344e+00,6.006383807443821610e+00
4.000000000000000000e+00,5.013399351138166260e+00,5.706000966245699857e+00
5.000000000000000000e+00,4.623545410593654204e+00,5.517045865552890227e+00
6.000000000000000000e+00,4.465414802494544588e+00,5.422865279795318294e+00
7.000000000000000000e+00,4.321306753127799105e+00,5.141063335249710597e+00
8.000000000000000000e+00,4.200972945333241171e+00,4.807854200676216827e+00
9.000000000000000000e+00,4.100428601327704037e+00,4.756757764218158435e+00
1.000000000000000000e+01,4.009501195131551121e+00,4.483455877252489508e+00
1.100000000000000000e+01,3.935686955475309556e+00,4.433442117334257304e+00
1.200000000000000000e+01,3.873044754492510400e+00,4.316321762016679386e+00
1.300000000000000000e+01,3.826697444242402213e+00,4.322583307785122564e+00
1.400000000000000000e+01,3.788699146096854875e+00,4.230084272885886065e+00
1.500000000000000000e+01,3.753832313381360475e+00,4.210122428974114150e+00
1.600000000000000000e+01,3.724045096984262671e+00,4.172431764626238326e+00
1.700000000000000000e+01,3.697696556940962775e+00,4.171776366508482603e+00
1.800000000000000000e+01,3.671719989935926964e+00,4.138237161957505350e+00
1.900000000000000000e+01,3.645853181801938181e+00,4.160129650715833627e+00
2.000000000000000000e+01,3.623850098658393026e+00,4.103481027750951249e+00
2.100000000000000000e+01,3.598748940092750814e+00,4.111962306507397358e+00
2.200000000000000000e+01,3.578200793484699993e+00,4.121715054269745160e+00
2.300000000000000000e+01,3.557129701090749663e+00,4.087063827219489909e+00
2.400000000000000000e+01,3.533798302813617287e+00,4.102651746614367489e+00
2.500000000000000000e+01,3.511140945282229531e+00,4.051909392545595345e+00
2.600000000000000000e+01,3.488092910684225778e+00,4.054728637195545993e+00
2.700000000000000000e+01,3.466256624202539882e+00,4.065171939300068260e+00
2.800000000000000000e+01,3.450643032113866138e+00,4.031429610104466654e+00
2.900000000000000000e+01,3.422488862974720103e+00,4.031714771076649662e+00
3.000000000000000000e+01,3.401982110294027972e+00,4.022645281697425190e+00
3.100000000000000000e+01,3.384685486837048618e+00,4.025526777532954625e+00
3.200000000000000000e+01,3.362103396770596220e+00,3.976051739599242740e+00
3.300000000000000000e+01,3.341254929430257370e+00,4.002422428518785935e+00
3.400000000000000000e+01,3.323237466539773699e+00,3.965596316260326049e+00
3.500000000000000000e+01,3.311136400906638411e+00,3.945160989204043123e+00
3.600000000000000000e+01,3.281682351624360727e+00,3.921826949072494628e+00
3.700000000000000000e+01,3.259669525991406580e+00,3.941387552032994623e+00
