model,seed,split,best_epoch,rmse_db,mae_db,r2
mean,,train,,6.813287224113315,5.573136893312723,0.0
mean,,validation,,7.204443624550338,5.741354688542547,-0.012603254869063107
linear,,train,,4.5797381549418725,3.543079345771627,0.5481774515366613
linear,,validation,,5.238093437609077,3.9687830670019197,0.46471520566345903
mlp_plain,7,train,355,2.0809443410991313,1.4921760599155616,0.9067159198679807
mlp_plain,7,validation,355,3.2891976416525583,2.3807696405260015,0.7889339586512989
mlp_l2,7,train,397,1.8776416089930477,1.331621517845008,0.9240527581704303
mlp_l2,7,validation,397,3.067403415374932,2.163424381636262,0.8164390832492959
mlp_plain,17,train,379,1.6081296505771479,1.1832576953618212,0.9442905688738432
mlp_plain,17,validation,379,2.6822328649250298,1.937524857878275,0.8596438704978628
mlp_l2,17,train,379,1.653515378280415,1.210278942994397,0.9411016563797022
mlp_l2,17,validation,379,2.811796882889084,1.996222462657391,0.8457566977257545
mlp_plain,27,train,396,1.9537709028236037,1.4192809964061188,0.9177693203873587
mlp_plain,27,validation,396,3.153047290973469,2.326226984712266,0.806045708439325
mlp_l2,27,train,396,1.9018194552958136,1.3921083064395035,0.9220842641821367
mlp_l2,27,validation,396,3.132035093355946,2.3732904663085934,0.8086221534387247
