epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.811862666933093280e+00,7.304703377985068968e+00
2.000000000000000000e+00,6.687778237935734005e+00,7.186695495997789784e+00
3.000000000000000000e+00,6.546217606566255398e+00,7.060114384591194003e+00
4.000000000000000000e+00,6.375857886750774917e+00,6.919761231059187168e+00
5.000000000000000000e+00,6.164048100435119082e+00,6.758577608285513350e+00
6.000000000000000000e+00,5.905655218217877866e+00,6.551202599311825914e+00
7.000000000000000000e+00,5.606991954395137867e+00,6.328204012345061358e+00
8.000000000000000000e+00,5.287927524844514338e+00,6.111963438869548071e+00
9.000000000000000000e+00,4.998196538680351075e+00,5.959932048333095977e+00
1.000000000000000000e+01,4.793897735981863306e+00,5.839679307173569534e+00
1.100000000000000000e+01,4.670540748529724340e+00,5.746613172587023755e+00
1.200000000000000000e+01,4.596096815238422728e+00,5.653603159274508627e+00
1.300000000000000000e+01,4.532301145872051684e+00,5.535719646552077933e+00
1.400000000000000000e+01,4.473966477833077882e+00,5.413240462566244915e+00
1.500000000000000000e+01,4.421004036921285518e+00,5.247843893067174470e+00
1.600000000000000000e+01,4.369669537673138926e+00,5.204237227377555008e+00
1.700000000000000000e+01,4.322354304731216068e+00,5.169752558930529318e+00
1.800000000000000000e+01,4.275734868569690761e+00,5.098985848071482252e+00
1.900000000000000000e+01,4.234484244421472532e+00,5.045630521081283071e+00
2.000000000000000000e+01,4.196373661933653132e+00,4.957189080319254870e+00
2.100000000000000000e+01,4.161647297268464385e+00,4.947088389481641535e+00
2.200000000000000000e+01,4.130091059083688343e+00,4.899397543986360404e+00
2.300000000000000000e+01,4.098376747102664197e+00,4.868601613192930166e+00
2.400000000000000000e+01,4.069387991383407233e+00,4.824006272192817413e+00
2.500000000000000000e+01,4.042701102001078795e+00,4.774781223144120013e+00
2.600000000000000000e+01,4.015532667395881106e+00,4.769259187418010804e+00
2.700000000000000000e+01,3.990797301599997571e+00,4.742377748922689484e+00
2.800000000000000000e+01,3.963503283203108740e+00,4.680926092316221698e+00
2.900000000000000000e+01,3.940117759305054257e+00,4.643372351007569065e+00
3.000000000000000000e+01,3.914852394578967054e+00,4.633252788173784609e+00
3.100000000000000000e+01,3.888424879934910372e+00,4.620679655372760486e+00
3.200000000000000000e+01,3.863730289995473743e+00,4.553800262754753803e+00
3.300000000000000000e+01,3.836682054681336052e+00,4.544537512490087749e+00
3.400000000000000000e+01,3.810170209512845130e+00,4.492219124167893263e+00
3.500000000000000000e+01,3.785841668980749031e+00,4.481520893879886280e+00
3.600000000000000000e+01,3.767861605464435382e+00,4.472354984918917253e+00
3.700000000000000000e+01,3.748682440829498308e+00,4.439372849825205414e+00
3.800000000000000000e+01,3.717844575724978284e+00,4.429075340773210634e+00
3.900000000000000000e+01,3.691632601092480481e+00,4.397375638469246617e+00
4.000000000000000000e+01,3.669697226061594542e+00,4.365324852164247815e+00
4.100000000000000000e+01,3.644176538189685566e+00,4.373566606482965469e+00
4.200000000000000000e+01,3.621978597330800742e+00,4.358050434725688760e+00
4.300000000000000000e+01,3.601145994541081308e+00,4.302582612884164881e+00
4.400000000000000000e+01,3.575413050976277596e+00,4.305164282566364520e+00
4.500000000000000000e+01,3.552738965719874020e+00,4.329226476838185178e+00
4.600000000000000000e+01,3.529611959156038647e+00,4.269316961799255239e+00
4.700000000000000000e+01,3.505500194452518148e+00,4.266357730912058166e+00
4.800000000000000000e+01,3.483730328655537889e+00,4.287673362428270352e+00
4.900000000000000000e+01,3.462686458997909611e+00,4.236878028458525236e+00
5.000000000000000000e+01,3.442051733540246072e+00,4.243262675315132348e+00
5.100000000000000000e+01,3.421870749565990355e+00,4.216697364122012459e+00
5.200000000000000000e+01,3.401732005187880326e+00,4.185588743501591047e+00
5.300000000000000000e+01,3.383945078863564770e+00,4.173096839557177695e+00
5.400000000000000000e+01,3.364684362282813090e+00,4.198528705120410542e+00
5.500000000000000000e+01,3.344683169590497496e+00,4.152146616632731657e+00
5.600000000000000000e+01,3.328471803703574317e+00,4.149236522555948881e+00
5.700000000000000000e+01,3.307002338102604355e+00,4.166192603018918028e+00
5.800000000000000000e+01,3.291144595515834048e+00,4.074077488386907753e+00
5.900000000000000000e+01,3.272932016114692200e+00,4.120836902571353377e+00
6.000000000000000000e+01,3.251267816974274361e+00,4.110902367414626113e+00
6.100000000000000000e+01,3.233107565080632018e+00,4.080340528168491687e+00
6.200000000000000000e+01,3.216150844478818271e+00,4.070281151808569753e+00
6.300000000000000000e+01,3.198961643432347568e+00,4.058153122603503249e+00
6.400000000000000000e+01,3.183038092935376984e+00,4.051122657643285052e+00
6.500000000000000000e+01,3.166286215369064738e+00,4.053510902640477198e+00
6.600000000000000000e+01,3.149660579654904424e+00,3.988740037079013145e+00
6.700000000000000000e+01,3.133429328767231237e+00,3.997818618185074335e+00
6.800000000000000000e+01,3.119722930830434393e+00,4.032286233348226112e+00
6.900000000000000000e+01,3.102678823107255734e+00,3.948055410696659884e+00
7.000000000000000000e+01,3.086653994540344392e+00,3.948190667814778010e+00
7.100000000000000000e+01,3.073807624092132151e+00,3.931112150551717477e+00
7.200000000000000000e+01,3.057533754863716702e+00,3.918228945663211338e+00
7.300000000000000000e+01,3.045032966025578602e+00,3.904320784299715186e+00
7.400000000000000000e+01,3.034136238547404218e+00,3.853181743582959840e+00
7.500000000000000000e+01,3.016149721846731691e+00,3.881390839649696556e+00
7.600000000000000000e+01,3.002022290781436897e+00,3.872797385856007413e+00
7.700000000000000000e+01,2.992067900738173414e+00,3.802905396768984314e+00
7.800000000000000000e+01,2.975703711566863419e+00,3.863202472417210931e+00
7.900000000000000000e+01,2.961674599120963425e+00,3.812182127073722615e+00
