epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.734811414118167860e+00,7.375286523643310943e+00
2.000000000000000000e+00,6.646791518567707335e+00,7.265593841656176721e+00
3.000000000000000000e+00,6.543333928479367678e+00,7.165000935323494247e+00
4.000000000000000000e+00,6.401269717810357918e+00,7.059301133083903501e+00
5.000000000000000000e+00,6.205499660211013513e+00,6.921338878532085737e+00
6.000000000000000000e+00,5.944816388874587076e+00,6.734719386316967871e+00
7.000000000000000000e+00,5.630040115817998903e+00,6.503926693265413839e+00
8.000000000000000000e+00,5.278712938675240274e+00,6.235743927461170344e+00
9.000000000000000000e+00,4.944858522214328644e+00,5.932146196332165999e+00
1.000000000000000000e+01,4.695315461953572189e+00,5.692582988663321686e+00
1.100000000000000000e+01,4.532175536916981606e+00,5.515333917511132000e+00
1.200000000000000000e+01,4.403962217816821401e+00,5.293519664298332650e+00
1.300000000000000000e+01,4.297926774687299556e+00,5.090932447492397372e+00
1.400000000000000000e+01,4.214231385706080246e+00,4.931951301822492084e+00
1.500000000000000000e+01,4.141443615009955614e+00,4.822245380903761536e+00
1.600000000000000000e+01,4.076310423365660185e+00,4.714966187242318973e+00
1.700000000000000000e+01,4.020127376039711820e+00,4.609370199129488199e+00
1.800000000000000000e+01,3.972553868610913419e+00,4.508483385066881510e+00
1.900000000000000000e+01,3.932398747698911734e+00,4.487662614206655576e+00
2.000000000000000000e+01,3.897980777840548861e+00,4.427210961443635462e+00
2.100000000000000000e+01,3.870816974150540712e+00,4.401528392528170741e+00
2.200000000000000000e+01,3.845035828478456263e+00,4.327122458054204479e+00
2.300000000000000000e+01,3.825150523912774325e+00,4.343789443893002478e+00
2.400000000000000000e+01,3.804462453048593318e+00,4.285076796340040239e+00
2.500000000000000000e+01,3.785186035531078463e+00,4.274315020157779088e+00
2.600000000000000000e+01,3.768126877289131205e+00,4.235694696865385467e+00
2.700000000000000000e+01,3.752692235525939779e+00,4.271350021093579308e+00
2.800000000000000000e+01,3.734393281755437943e+00,4.212274543563533591e+00
2.900000000000000000e+01,3.721558619038257465e+00,4.182073434719792537e+00
3.000000000000000000e+01,3.705748414180906281e+00,4.203130403000218784e+00
3.100000000000000000e+01,3.689756298504119236e+00,4.145633157960870285e+00
3.200000000000000000e+01,3.674340350238485264e+00,4.154425504679768011e+00
3.300000000000000000e+01,3.659682124355830179e+00,4.140282627793631320e+00
3.400000000000000000e+01,3.645493816856383518e+00,4.112513535073583526e+00
3.500000000000000000e+01,3.634419052118947224e+00,4.125998061538803441e+00
3.600000000000000000e+01,3.621715608480942983e+00,4.084604260451680346e+00
3.700000000000000000e+01,3.606301315361657878e+00,4.099905273580177756e+00
3.800000000000000000e+01,3.592073546740073287e+00,4.069203046137008783e+00
3.900000000000000000e+01,3.578838487613383634e+00,4.039175150282376059e+00
4.000000000000000000e+01,3.566837976207331451e+00,4.072613152638258072e+00
4.100000000000000000e+01,3.550741151825626218e+00,4.032679055964189629e+00
4.200000000000000000e+01,3.539171737358723036e+00,4.000785080059164223e+00
4.300000000000000000e+01,3.525063130407358081e+00,4.038306798966276645e+00
4.400000000000000000e+01,3.509251912422092001e+00,3.995635996247787425e+00
4.500000000000000000e+01,3.494689615485728318e+00,3.982546756292371981e+00
4.600000000000000000e+01,3.483860382193800120e+00,4.012908426705883436e+00
4.700000000000000000e+01,3.467187844134375752e+00,3.954789337182499143e+00
4.800000000000000000e+01,3.453276908008286128e+00,3.980815567903411178e+00
4.900000000000000000e+01,3.439705494672332886e+00,3.951495318620993569e+00
5.000000000000000000e+01,3.426991173564971405e+00,3.943012198805935675e+00
5.100000000000000000e+01,3.412738241927075755e+00,3.946901331864772988e+00
5.200000000000000000e+01,3.399537510244206917e+00,3.923122233574116269e+00
5.300000000000000000e+01,3.383556874798644198e+00,3.914697785588350687e+00
5.400000000000000000e+01,3.370079903875064176e+00,3.915628351139102570e+00
5.500000000000000000e+01,3.354926562475766261e+00,3.882038778107907984e+00
5.600000000000000000e+01,3.341606026274863694e+00,3.907043986913634637e+00
5.700000000000000000e+01,3.327270279773172135e+00,3.874302785839000229e+00
5.800000000000000000e+01,3.315420330823385608e+00,3.863341237417337037e+00
5.900000000000000000e+01,3.299913400728693880e+00,3.877097564120039141e+00
6.000000000000000000e+01,3.285543744582438475e+00,3.836516362282117232e+00
6.100000000000000000e+01,3.270549265691650387e+00,3.847845032810488952e+00
6.200000000000000000e+01,3.256859435289484406e+00,3.807127173970915823e+00
6.300000000000000000e+01,3.245506612971250870e+00,3.886251838738247866e+00
6.400000000000000000e+01,3.228116418824369838e+00,3.810513136406405099e+00
